Number of nodes 838 
     0 :  2.9666667e-02  0.0000000e+00 
     1 :  1.4833333e-02  2.5692087e-02 
     2 :  6.0000000e-02  0.0000000e+00 
     3 :  3.0000000e-02  5.1961524e-02 
     4 :  3.0000000e-02  0.0000000e+00 
     5 :  2.8977775e-02  7.7645714e-03 
     6 :  2.1213203e-02  2.1213203e-02 
     7 :  1.5000000e-02  2.5980762e-02 
     8 :  4.8000000e-02  0.0000000e+00 
     9 :  4.4923484e-02  1.6908002e-02 
    10 :  3.7104502e-02  3.0450878e-02 
    11 :  2.4000000e-02  4.1569219e-02 
    12 : -3.0000000e-02  5.1961524e-02 
    13 : -2.4000000e-02  4.1569219e-02 
    14 : -7.8189827e-03  4.7358880e-02 
    15 : -7.7645714e-03  2.8977775e-02 
    16 :  7.7645714e-03  2.8977775e-02 
    17 :  7.8189827e-03  4.7358880e-02 
    18 : -1.5000000e-02  2.5980762e-02 
    19 : -1.4833333e-02  2.5692087e-02 
    20 : -6.0000000e-02  2.0816682e-17 
    21 : -4.8000000e-02  1.7347235e-17 
    22 : -4.4923484e-02  1.6908002e-02 
    23 : -2.8977775e-02  7.7645714e-03 
    24 : -2.1213203e-02  2.1213203e-02 
    25 : -3.7104502e-02  3.0450878e-02 
    26 : -3.0000000e-02  1.0408341e-17 
    27 : -2.9666667e-02  1.0408341e-17 
    28 : -3.0000000e-02 -5.1961524e-02 
    29 : -2.4000000e-02 -4.1569219e-02 
    30 : -3.7104502e-02 -3.0450878e-02 
    31 : -2.1213203e-02 -2.1213203e-02 
    32 : -2.8977775e-02 -7.7645714e-03 
    33 : -4.4923484e-02 -1.6908002e-02 
    34 : -1.5000000e-02 -2.5980762e-02 
    35 : -1.4833333e-02 -2.5692087e-02 
    36 :  3.0000000e-02 -5.1961524e-02 
    37 :  2.4000000e-02 -4.1569219e-02 
    38 :  7.8189827e-03 -4.7358880e-02 
    39 :  7.7645714e-03 -2.8977775e-02 
    40 : -7.7645714e-03 -2.8977775e-02 
    41 : -7.8189827e-03 -4.7358880e-02 
    42 :  1.5000000e-02 -2.5980762e-02 
    43 :  1.4833333e-02 -2.5692087e-02 
    44 :  4.4923484e-02 -1.6908002e-02 
    45 :  2.8977775e-02 -7.7645714e-03 
    46 :  2.1213203e-02 -2.1213203e-02 
    47 :  3.7104502e-02 -3.0450878e-02 
    48 :  5.7955550e-03  1.5529143e-03 
    49 : -1.5529143e-03  5.7955550e-03 
    50 :  2.8333824e-02  7.5920252e-03 
    51 : -7.5920252e-03  2.8333824e-02 
    52 :  1.9318517e-02  5.1763811e-03 
    53 :  1.5867067e-02  1.2175228e-02 
    54 :  2.6105241e-03  1.9828898e-02 
    55 : -5.1763811e-03  1.9318517e-02 
    56 :  2.8011849e-02  7.5057523e-03 
    57 :  2.0690378e-02  2.0320143e-02 
    58 :  7.2525705e-03  2.8078465e-02 
    59 : -7.5057523e-03  2.8011849e-02 
    60 : -5.7955550e-03 -1.5529143e-03 
    61 : -1.2175228e-02  1.5867067e-02 
    62 : -2.0320143e-02  2.0690378e-02 
    63 : -2.8078465e-02  7.2525705e-03 
    64 : -1.9828898e-02  2.6105241e-03 
    65 : -1.9318517e-02 -5.1763811e-03 
    66 : -2.8011849e-02 -7.5057523e-03 
    67 : -2.8333824e-02 -7.5920252e-03 
    68 :  1.5529143e-03 -5.7955550e-03 
    69 : -1.5867067e-02 -1.2175228e-02 
    70 : -2.0690378e-02 -2.0320143e-02 
    71 : -7.2525705e-03 -2.8078465e-02 
    72 : -2.6105241e-03 -1.9828898e-02 
    73 :  5.1763811e-03 -1.9318517e-02 
    74 :  7.5057523e-03 -2.8011849e-02 
    75 :  7.5920252e-03 -2.8333824e-02 
    76 :  1.2175228e-02 -1.5867067e-02 
    77 :  2.0320143e-02 -2.0690378e-02 
    78 :  2.8078465e-02 -7.2525705e-03 
    79 :  1.9828898e-02 -2.6105241e-03 
    80 :  2.9532334e-02  2.8199960e-03 
    81 :  2.9130551e-02  5.6144536e-03 
    82 :  2.8464958e-02  8.3580659e-03 
    83 :  2.7541582e-02  1.1025986e-02 
    84 :  2.6368785e-02  1.3594054e-02 
    85 :  2.4957188e-02  1.6039011e-02 
    86 :  2.3319575e-02  1.8338717e-02 
    87 :  2.1470776e-02  2.0472344e-02 
    88 :  1.9427535e-02  2.2420571e-02 
    89 :  1.7208355e-02  2.4165753e-02 
    90 :  2.9885841e-02  2.6146723e-03 
    91 :  2.9544233e-02  5.2094453e-03 
    92 :  2.8190779e-02  1.0260604e-02 
    93 :  2.7189234e-02  1.2678548e-02 
    94 :  2.5980762e-02  1.5000000e-02 
    95 :  2.4574561e-02  1.7207293e-02 
    96 :  2.2981333e-02  1.9283628e-02 
    97 :  1.9283628e-02  2.2981333e-02 
    98 :  1.7207293e-02  2.4574561e-02 
    99 :  4.7224608e-02  8.5928094e-03 
   100 :  3.1053895e-02  3.6601306e-02 
   101 :  5.8688856e-02  1.2474701e-02 
   102 :  5.4812727e-02  2.4404199e-02 
   103 :  4.8541020e-02  3.5267115e-02 
   104 :  4.0147836e-02  4.4588690e-02 
   105 :  3.2823201e-02  0.0000000e+00 
   106 :  3.6554082e-02  0.0000000e+00 
   107 :  4.1484465e-02  0.0000000e+00 
   108 :  3.1462538e-02  9.1893598e-03 
   109 :  3.4757793e-02  1.1078892e-02 
   110 :  3.9127907e-02  1.3584760e-02 
   111 :  2.3689488e-02  2.2652677e-02 
   112 :  2.6973498e-02  2.4561686e-02 
   113 :  3.1328701e-02  2.7093382e-02 
   114 :  1.6411601e-02  2.8425726e-02 
   115 :  1.8277041e-02  3.1656763e-02 
   116 :  2.0742232e-02  3.5926600e-02 
   117 :  1.8541020e-02  5.7063391e-02 
   118 :  6.2717077e-03  5.9671314e-02 
   119 : -6.2717079e-03  5.9671314e-02 
   120 : -1.8541020e-02  5.7063391e-02 
   121 : -1.6170713e-02  4.5194115e-02 
   122 : -7.7992065e-03  4.0678142e-02 
   123 : -7.7842944e-03  3.5640578e-02 
   124 : -7.7730501e-03  3.1842037e-02 
   125 : -5.2094453e-03  2.9544233e-02 
   126 : -2.6146723e-03  2.9885841e-02 
   127 :  2.0956085e-11  3.0000000e-02 
   128 :  2.6146723e-03  2.9885841e-02 
   129 :  5.2094453e-03  2.9544233e-02 
   130 :  7.7730501e-03  3.1842037e-02 
   131 :  7.7842944e-03  3.5640578e-02 
   132 :  7.7992065e-03  4.0678142e-02 
   133 :  1.6170713e-02  4.5194115e-02 
   134 :  1.0260604e-02  2.8190779e-02 
   135 :  1.2678548e-02  2.7189234e-02 
   136 : -2.0742232e-02  3.5926600e-02 
   137 : -1.8277041e-02  3.1656763e-02 
